Date,Close, Volume, Open, High, Low
9/6/13,1386.5,152131,1366.7,1393.6,1358.8
9/5/13,1373,165984,1391.2,1400,1364.7
9/4/13,1390,129843,1411.6,1415,1384.6
9/3/13,1412,196849,1392,1416.4,1373.6
8/30/13,1396.1,121634,1407.5,1411.5,1391.8
8/29/13,1412.9,139596,1418.2,1418.6,1402.1
8/28/13,1418.8,153609,1423,1434,1413.2
8/27/13,1420.2,146665,1419,1424,1395.2
8/26/13,1393.1,94055,1394.8,1399.8,1388.4
8/23/13,1395.8,149116,1376.1,1399.9,1367.8
8/22/13,1370.8,134493,1365.6,1381.4,1354.5
8/21/13,1370.1,137350,1371,1378.9,1359.2
8/20/13,1372.6,130096,1364.9,1378,1351.6
8/19/13,1365.7,116056,1377.1,1384.1,1362
8/16/13,1371,158700,1365.6,1379.2,1357
8/15/13,1360.9,215057,1321.5,1369.6,1317.9
8/14/13,1333.4,109498,1320.3,1335.4,1315.1
8/13/13,1320.5,140895,1336,1341,1317.8
8/12/13,1334.2,129437,1329.5,1343.7,1329.5
8/9/13,1312.2,89904,1311.4,1316.5,1304.1
8/8/13,1309.9,131711,1285.9,1313.8,1282
8/7/13,1285.3,111577,1280.5,1289,1271.8
8/6/13,1282.5,131579,1303.3,1306.4,1278.1
8/5/13,1302.4,90756,1312.2,1320.3,1296.7
8/2/13,1310.5,179834,1314,1318,1282.4
8/1/13,1311.2,146541,1323.4,1330.7,1307.1
7/31/13,1313,200230,1326.4,1339.7,1305.3
7/30/13,1324.8,115086,1328.2,1330.4,1317
7/29/13,1329.6,95863,1333.5,1338.5,1323.1
7/26/13,1321.9,55671,1333.8,1340.9,1312.3
7/25/13,1329.5,48685,1321,1333.7,1308.9
7/24/13,1320.1,34436,1344,1347.4,1313.5
7/23/13,1335.2, N/A,1335.2,1335.2,1335.2
7/22/13,1337.3,34927,1325,1340.5,1296.8
7/19/13,1294,28591,1284.9,1298.1,1283.8
7/18/13,1285.5,15430,1275,1289.2,1275
7/17/13,1278.8,30066,1291.5,1301.1,1270.6
7/16/13,1292, N/A,1292,1292,1292
7/15/13,1283.5, N/A,1283.5,1283.5,1283.5
7/12/13,1277.6,126601,1284.9,1287.4,1266.4
7/11/13,1279.9,195211,1265.7,1297.2,1262.1
7/10/13,1247.4,168042,1249.1,1264.5,1242.2
7/9/13,1245.9,153288,1235.2,1258.7,1232
7/8/13,1234.9,127905,1218.4,1237.4,1216.2
7/5/13,1212.7,208007,1249,1257.1,1206.9
7/3/13,1251.9,141031,1241.9,1259.3,1236
7/2/13,1243.4,155083,1252.7,1267,1238.8
7/1/13,1255.7,187469,1239.2,1261.7,1224.1
6/28/13,1223.7,285351,1199.5,1229.7,1179.4
6/27/13,1211.6,235380,1225.5,1244.2,1196.1
6/26/13,1229.8,285371,1277,1236.3,1221
6/25/13,1275.1,144701,1281.7,1289,1270.7
6/24/13,1277.1,149366,1296.3,1300.7,1275.1
6/21/13,1292,170210,1277.6,1301.7,1268.7
6/20/13,1286.2,341871,1351.2,1351.2,1275.6
6/19/13,1374,112325,1367.3,1376,1356.1
6/18/13,1366.9,118418,1384.3,1385.4,1360.2
6/17/13,1383.1,63635,1390.1,1391.4,1379.8
6/14/13,1387.6,93798,1384.8,1391.8,1377.8
6/13/13,1377.8,114985,1387.4,1394.4,1373
6/12/13,1392,106535,1377.7,1394,1372.2
6/11/13,1377,131302,1385.9,1387.2,1364.5
6/10/13,1386,102193,1379.3,1388.5,1375.1
6/7/13,1383,184514,1412.7,1417.7,1377.1
6/6/13,1415.8,162798,1401.8,1423.3,1391.2
6/5/13,1398.5,126776,1398.8,1410.3,1395.1
6/4/13,1397.2,104235,1411.2,1414.8,1388.1
6/3/13,1411.9,130847,1388.8,1416.5,1388.3
5/31/13,1393,153695,1412.9,1421.6,1386.2
5/30/13,1412,184922,1392.9,1417.7,1388.4
5/29/13,1391.8,122484,1380.9,1395.4,1379.7
5/28/13,1379.7,117343,1394.1,1401.9,1372.8
5/24/13,1386.6,123567,1389.9,1397.1,1381.1
5/23/13,1391.8,202064,1367.9,1397.1,1355
5/22/13,1367.4,300634,1387,1413.3,1353.1
5/21/13,1377.6,206683,1374,1399.9,1358
5/20/13,1384.1,236604,1361.3,1397.9,1336.3
5/17/13,1364.7,210181,1385.2,1391.3,1357.6
5/16/13,1386.9,199470,1392.5,1397,1368
5/15/13,1396.2,209746,1424.5,1429.4,1389
5/14/13,1424.5,158786,1429.5,1444.9,1419.7
5/13/13,1434.3,136254,1447.7,1448.3,1424.7
5/10/13,1436.6,210594,1457.5,1461.2,1418.5
5/9/13,1468.6,8501,1468.6,1468.6,1468.6
5/8/13,1473.7,144537,1451.6,1475.8,1446.7
5/7/13,1448.8,174645,1449,1470,1440.4
5/6/13,1468,76908,1470,1478.4,1463.8
5/3/13,1464.2,159542,1466.2,1487.2,1455.4
5/2/13,1467.6,138096,1457,1473.3,1448.1
5/1/13,1446.2,154718,1475.6,1477.4,1439.7
